Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,1
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,1
Drone,1
Drone,1
Ling,2
Overlord,1
Queen,2
Metabolic_Boost,1
Drone,2
Drone,1
Ling,2
Hatch,1
Drone,1
Drone,1
Bane_Nest,1
Drone,1
Overlord,1
Drone,1
Ling,2
Drone,1
Overlord,1
Drone,4
Ling,2
Evo_Chamber,1
Drone,1
Bane,3
Queen,1
Ling,2
Bane,1
Creep_Tumor,1
Overlord,1
Ling,4
Drone,2
Drone,2
Drone,2
Overlord,1
Missile_Attacks,1
Overlord,1
Drone,2
Seismic_Spines,2
Roach_Warren,1
Drone,2
Extractor,1
Drone,1
Spine_Crawler,1
Extractor,1
Drone,1
Lair,1
Overlord,1
Drone,1
Overlord,1
Drone,2
Overlord,1
Drone,4
Creep_Tumor,1
Roach,3
Drone,1
Roach,2
Extractor,1
Extractor,1
Drone,1
Roach,4
Extractor,1
Overlord,1
Drone,4
Spire,1
Drone,1
Drone,2
Glial_Reconstitution,1
Seismic_Spines,22
Overseer,1
Hatch,1
Missile_Attacks,1
Overlord,1
Roach,1
Overlord,1
Overlord,1
Roach,4
Drone,3
Overlord,1
Creep_Tumor,1
Drone,5
Muta,6
Queen,1
Overlord,1
Overlord,1
Muta,2
Queen,1
Drone,4
Extractor,2
Queen,1
Muta,2
Ravager,3
Muta,2
Spore_Crawler,1
Overlord,1
Muta,1
Ling,18
Muta,3
Queen,1
Spore_Crawler,1
Overlord,1
Muta,1
Creep_Tumor,1
Drone,5
Muta,2
Muta,2
Spore_Crawler,1
Hatch,1
Muta,1
Drone,2
Drone,2
Creep_Tumor,1
Spore_Crawler,1
Muta,1
Muta,1
Muta,1
Muta,1
Overlord,1
Ling,12
Muta,3
Ling,14
Flyer_Attacks,1
Muta,1
Creep_Tumor,1
Spine_Crawler,2
Drone,4
Muta,2
Extractor,2
Muta,1
Muta,1
Muta,1
Ling,6
Ling,12
Ling,20
Overlord,1
Muta,2
Muta,1
Ling,12
Spore_Crawler,2
Spine_Crawler,2
Muta,3
Ling,14
Ling,18
Muta,1
Queen,1
Ling,4
Muta,2
Queen,1
Muta,1
Muta,3
Flyer_Attacks,1
Muta,1
Muta,4
